Index,C1,C2,C3,C4,C5,C6,C7,C8,C9,Target
1835,1,2,12,0,1,1,1,0.28,0.28,118
1836,3,9,8,0,3,1,3,0.62,0.94,328
1837,2,5,17,0,3,1,2,0.64,0.53,705
1838,2,6,21,0,2,1,1,0.68,0.83,274
1839,1,1,16,0,0,0,1,0.22,0.29,205
1840,2,3,6,0,1,1,3,0.32,0.76,32
1841,4,9,17,0,0,0,1,0.56,0.35,723
1842,1,2,22,0,0,0,1,0.4,0.35,36
1843,4,9,5,0,6,0,1,0.5,0.63,15
1844,3,8,17,0,4,1,1,0.82,0.34,844
1845,3,9,10,0,2,1,2,0.72,0.74,172
1846,2,5,22,0,1,1,2,0.54,0.45,173
1847,3,6,19,0,5,1,2,0.76,0.55,362
1848,4,10,6,0,1,1,2,0.56,0.73,147
1849,1,12,3,0,4,1,1,0.44,0.67,6
1850,2,5,12,0,6,0,1,0.6,0.4,373
1851,1,2,22,0,6,0,2,0.24,0.87,95
1852,2,5,17,0,1,1,1,0.58,0.88,274
1853,3,7,20,0,1,1,1,0.78,0.59,323
1854,2,4,0,0,0,0,1,0.52,0.83,96
1855,2,6,10,0,6,0,1,0.64,0.38,317
1856,4,12,19,0,3,1,2,0.36,0.62,268
1857,4,11,15,0,2,1,3,0.4,0.87,65
1858,3,9,18,0,5,1,1,0.72,0.45,808
1859,2,5,7,0,5,1,1,0.56,0.88,356
1860,2,6,22,0,6,0,1,0.66,0.78,190
1861,2,5,8,0,4,1,1,0.46,0.67,630
1862,4,10,22,0,1,1,1,0.46,0.82,183
1863,1,2,22,0,1,1,1,0.26,0.56,102
1864,2,6,13,0,6,0,1,0.82,0.24,585
1865,1,2,14,0,2,1,1,0.4,0.28,134
1866,2,5,5,0,6,0,1,0.56,0.88,7
1867,2,3,15,0,4,1,2,0.3,0.7,90
1868,4,10,15,0,6,0,2,0.42,0.71,195
1869,1,1,18,0,2,1,3,0.16,0.93,95
1870,3,8,21,0,4,1,1,0.7,0.48,206
1871,4,11,15,0,3,1,1,0.36,0.32,179
1872,3,8,5,0,1,1,1,0.7,0.79,15
1873,4,11,5,0,1,1,1,0.22,0.69,41
1874,4,10,18,0,6,0,3,0.38,0.87,140
1875,1,3,2,0,2,1,1,0.24,0.52,1
1876,4,9,12,0,0,0,1,0.62,0.41,680
1877,1,1,6,0,1,1,1,0.16,0.69,37
1878,1,2,13,0,6,0,2,0.3,0.7,302
1879,4,10,15,0,0,0,3,0.42,0.77,306
1880,1,2,21,0,3,1,2,0.14,0.86,83
1881,2,5,16,0,0,0,1,0.68,0.61,273
1882,4,12,2,0,2,1,2,0.46,0.87,3
1883,3,9,13,0,4,1,2,0.66,0.83,193
1884,2,4,14,0,1,1,1,0.46,0.31,268
1885,2,4,14,0,2,1,1,0.5,0.25,216
1886,2,5,8,0,4,1,1,0.42,0.5,440
1887,3,9,17,0,1,1,1,0.72,0.51,590
1888,4,11,2,1,4,0,1,0.3,0.61,22
1889,4,10,14,0,1,1,2,0.6,0.43,244
1890,2,3,16,0,6,0,2,0.5,0.63,535
1891,3,7,19,0,2,1,1,0.88,0.35,547
1892,1,12,13,0,3,1,3,0.44,0.94,58
1893,1,1,2,0,6,0,1,0.22,0.8,32
1894,2,3,5,0,3,1,2,0.5,0.88,39
1895,3,9,16,0,1,1,2,0.64,0.69,453
1896,1,2,2,0,6,0,1,0.32,0.45,38
1897,4,10,1,0,3,1,1,0.54,0.68,27
1898,3,9,21,0,4,1,1,0.46,0.63,145
1899,1,1,7,0,1,1,1,0.02,0.48,84
1900,4,11,18,0,3,1,1,0.42,0.38,311
1901,4,12,13,0,1,1,2,0.3,0.52,166
1902,4,11,8,0,2,1,1,0.22,0.69,588
1903,4,10,10,0,0,0,2,0.36,0.71,248
1904,3,6,23,0,1,1,1,0.68,0.69,81
1905,4,10,21,0,0,0,1,0.42,0.54,166
1906,1,12,20,0,5,1,1,0.28,0.41,112
1907,2,4,5,0,3,1,1,0.28,0.56,27
1908,1,1,16,0,4,1,1,0.46,0.67,281
1909,2,5,20,0,4,1,1,0.72,0.58,322
1910,1,3,22,0,1,1,2,0.56,0.73,148
1911,3,9,5,0,1,1,1,0.56,0.83,24
1912,4,9,6,0,1,1,2,0.62,0.94,113
1913,4,9,14,0,4,1,2,0.76,0.45,258
1914,3,6,2,0,5,1,1,0.74,0.79,12
1915,2,4,19,0,4,1,1,0.46,0.28,324
1916,2,4,11,0,5,1,3,0.34,0.66,106
1917,4,9,22,0,4,1,3,0.62,0.83,47
1918,2,5,4,0,0,0,1,0.52,0.68,16
1919,1,12,1,0,3,1,2,0.36,0.66,11
1920,2,4,13,0,6,0,1,0.52,0.83,312
1921,3,6,19,0,3,1,1,0.78,0.29,643
1922,2,3,21,0,0,0,1,0.48,0.77,149
1923,4,12,16,0,4,1,1,0.34,0.39,406
1924,1,2,13,0,5,1,1,0.36,0.46,198
1925,2,4,13,0,6,0,1,0.34,0.81,137
1926,4,12,19,0,5,1,2,0.38,0.76,352
1927,3,7,15,0,0,0,1,0.8,0.43,501
1928,3,7,15,0,0,0,3,0.92,0.42,298
1929,3,6,8,0,4,1,1,0.68,0.47,555
1930,3,8,0,0,1,1,1,0.72,0.7,29
1931,3,8,23,0,6,0,1,0.76,0.66,222
1932,3,8,15,0,3,1,2,0.7,0.79,118
1933,1,1,18,0,0,0,1,0.26,0.65,65
1934,3,7,16,0,5,1,3,0.68,0.83,132
1935,2,5,17,0,0,0,2,0.62,0.65,511
1936,1,2,6,0,3,1,3,0.22,0.93,18
1937,2,6,22,0,0,0,1,0.64,0.83,128
1938,4,10,19,0,5,1,1,0.54,0.39,248
1939,4,11,1,0,5,1,1,0.32,0.66,24
1940,4,10,6,0,6,0,1,0.42,0.71,31
1941,3,9,16,0,5,1,2,0.72,0.51,563
1942,2,3,11,0,0,0,2,0.4,0.94,323
1943,1,2,20,0,6,0,1,0.44,0.44,148
1944,4,12,8,0,3,1,2,0.26,0.65,688
1945,4,11,3,0,5,1,2,0.38,0.87,8
1946,2,6,14,0,4,1,2,0.72,0.54,153
1947,3,7,10,0,1,1,2,0.66,0.83,175
1948,2,4,13,0,2,1,1,0.74,0.51,176
1949,1,1,22,0,5,1,1,0.34,0.49,119
1950,4,10,9,0,0,0,1,0.5,0.45,190
1951,3,7,15,0,6,0,1,0.8,0.55,560
1952,1,1,21,0,1,1,1,0.3,0.42,162
1953,2,3,2,0,0,0,3,0.42,1,35
1954,2,6,2,0,3,1,1,0.64,0.89,7
1955,3,8,5,0,5,1,1,0.64,0.73,36
1956,1,3,5,0,0,0,1,0.26,0.6,9
1957,4,12,14,0,3,1,1,0.48,0.33,218
1958,4,9,16,0,0,0,1,0.7,0.7,464
1959,2,6,19,0,0,0,1,0.68,0.65,357
1960,1,3,17,0,6,0,1,0.48,0.31,278
1961,1,1,7,0,0,0,1,0.08,0.53,6
1962,1,1,9,1,1,0,1,0.1,0.58,96
1963,4,11,17,0,4,1,2,0.36,0.57,563
1964,4,11,9,0,5,1,1,0.34,0.53,382
1965,4,12,20,0,2,1,1,0.36,0.5,268
1966,3,8,10,0,3,1,1,0.76,0.43,118
1967,2,6,3,0,1,1,2,0.56,0.6,5
1968,2,6,19,0,1,1,2,0.62,0.73,463
1969,3,7,5,0,6,0,1,0.72,0.7,13
1970,2,4,21,0,2,1,1,0.62,0.78,195
1971,3,7,20,0,3,1,1,0.72,0.74,312
1972,2,4,9,0,0,0,1,0.54,0.56,251
1973,3,6,22,0,3,1,1,0.72,0.39,297
1974,3,7,5,0,5,1,1,0.72,0.84,27
1975,3,8,6,0,3,1,1,0.56,0.73,108
1976,2,3,2,0,6,0,2,0.42,0.77,69
1977,3,8,12,0,4,1,1,0.76,0.45,294
1978,1,1,7,0,2,1,2,0.16,0.55,99
1979,2,5,20,1,1,0,1,0.78,0.62,317
1980,4,12,17,0,4,1,1,0.3,0.45,617
1981,2,4,14,0,0,0,1,0.7,0.39,628
1982,4,11,0,0,5,1,1,0.34,0.49,55
1983,4,10,4,0,4,1,1,0.5,0.82,8
1984,3,7,1,0,1,1,1,0.66,0.89,27
1985,3,8,0,0,6,0,1,0.7,0.84,145
1986,1,1,15,0,6,0,3,0.2,0.8,119
1987,3,7,21,0,1,1,1,0.76,0.66,328
1988,1,12,19,0,6,0,1,0.42,0.54,92
1989,3,8,7,0,5,1,1,0.66,0.78,270
1990,3,7,14,0,1,1,1,0.88,0.42,212
1991,3,8,10,0,5,1,2,0.8,0.52,249
1992,4,11,10,1,4,0,1,0.36,0.57,219
1993,2,6,22,0,3,1,1,0.74,0.66,129
1994,1,12,1,0,1,1,1,0.18,0.55,19
1995,2,5,22,0,2,1,3,0.62,0.88,141
1996,4,12,16,0,0,0,1,0.28,0.48,234
1997,3,8,10,0,6,0,2,0.7,0.79,205
1998,2,3,21,0,4,1,1,0.58,0.78,374
1999,4,11,14,1,4,0,1,0.5,0.31,168
2000,3,9,10,0,6,0,3,0.66,0.65,258
2001,3,7,17,0,1,1,1,0.86,0.56,514
2002,4,10,5,0,6,0,1,0.4,0.82,13
2003,2,5,11,0,0,0,1,0.72,0.66,519
2004,1,1,9,0,5,1,1,0.2,0.47,134
2005,4,10,2,0,6,0,1,0.34,0.53,67
2006,2,4,11,0,0,0,2,0.4,0.87,202
2007,4,10,18,0,6,0,2,0.56,0.64,456
2008,4,10,17,0,1,1,1,0.42,0.54,486
2009,2,5,0,0,6,0,1,0.52,0.42,136
2010,1,2,17,0,4,1,1,0.54,0.32,610
2011,4,10,13,0,5,1,1,0.62,0.73,375
2012,4,12,18,0,6,0,1,0.26,0.48,157
2013,2,4,8,0,4,1,2,0.42,0.82,677
2014,3,7,8,0,5,1,2,0.7,0.54,713
2015,4,12,21,0,4,1,1,0.28,0.48,213
2016,4,10,13,1,1,0,2,0.42,0.62,405
2017,1,1,22,1,1,0,2,0.22,0.44,39
2018,4,10,16,0,4,1,2,0.56,0.73,207
2019,3,7,3,0,4,1,2,0.74,0.79,6
2020,1,1,5,0,4,1,3,0.34,0.93,16
2021,3,7,14,0,3,1,1,0.76,0.66,163
2022,1,12,15,0,5,1,2,0.3,0.49,225
2023,2,4,6,0,5,1,1,0.42,0.88,113
2024,4,12,0,0,1,1,2,0.42,0.82,21
2025,3,8,3,0,5,1,1,0.64,0.73,8
2026,3,7,7,0,3,1,1,0.76,0.55,313
2027,1,1,1,0,5,1,2,0.2,0.75,3
2028,4,11,0,0,5,1,1,0.26,0.7,52
2029,2,4,19,0,0,0,1,0.56,0.35,375
2030,3,7,4,0,0,0,1,0.7,0.79,4
2031,3,8,2,0,1,1,1,0.66,0.89,7
2032,3,9,4,0,3,1,1,0.6,0.83,9
2033,1,3,5,0,1,1,1,0.24,0.7,8
2034,2,5,18,0,6,0,2,0.66,0.31,546
2035,4,10,13,0,0,0,1,0.6,0.35,438
2036,2,4,10,0,3,1,2,0.62,0.83,92
2037,2,5,11,0,1,1,2,0.56,0.83,79
2038,1,3,12,0,3,1,2,0.4,0.71,88
2039,2,4,11,0,0,0,1,0.46,0.51,411
2040,2,3,19,0,1,1,1,0.42,0.24,458
2041,2,4,11,0,6,0,1,0.5,0.42,321
2042,2,4,3,0,6,0,1,0.36,0.66,32
2043,4,10,23,0,6,0,1,0.38,0.82,108
2044,4,12,23,0,6,0,1,0.2,0.47,66
2045,3,9,17,0,3,1,3,0.66,0.74,536
2046,3,7,19,0,3,1,1,0.74,0.48,633
2047,1,1,18,0,2,1,1,0.26,0.48,182
2048,1,3,15,0,0,0,1,0.54,0.68,554
2049,2,4,1,0,2,1,1,0.38,0.46,11
2050,4,9,6,0,0,0,1,0.44,0.72,22
2051,4,12,15,0,0,0,3,0.36,0.93,225
2052,4,11,9,0,3,1,1,0.3,0.52,332
2053,2,4,0,0,6,0,2,0.32,1,18
2054,3,6,22,0,6,0,1,0.74,0.37,279
2055,1,2,14,0,2,1,1,0.34,0.19,79
2056,1,1,22,0,4,1,2,0.22,0.51,52
2057,4,10,3,0,0,0,1,0.34,0.87,46
2058,3,8,14,0,6,0,1,0.88,0.4,472
2059,4,10,7,0,2,1,1,0.4,0.76,314
2060,2,4,4,0,4,1,1,0.3,0.61,1
2061,2,5,20,0,2,1,1,0.66,0.61,290
2062,1,2,1,0,3,1,1,0.14,0.46,4
2063,3,9,15,0,6,0,2,0.52,0.72,354
2064,1,2,18,0,4,1,3,0.34,0.87,353
2065,2,5,12,0,5,1,1,0.72,0.66,321
2066,1,1,18,0,4,1,1,0.34,0.36,383
2067,4,12,15,0,2,1,1,0.46,0.44,246
2068,4,9,22,0,6,0,2,0.62,0.88,193
2069,2,6,13,0,5,1,1,0.74,0.62,204
2070,1,3,3,0,5,1,1,0.32,0.57,3
2071,2,5,19,0,3,1,1,0.54,0.77,504
2072,4,11,2,0,2,1,2,0.32,0.76,5
2073,1,12,12,0,6,0,1,0.34,0.39,94
2074,2,6,4,0,6,0,1,0.52,0.59,15
2075,4,11,1,0,5,1,1,0.28,0.81,13
2076,1,3,18,0,2,1,1,0.6,0.69,801
2077,2,4,0,0,2,1,2,0.62,0.5,24
2078,2,5,0,0,2,1,2,0.52,0.52,38
2079,2,4,0,0,3,1,1,0.3,0.49,15
2080,1,1,10,0,0,0,1,0.14,0.43,49
2081,2,6,1,0,1,1,3,0.56,0.6,14
2082,3,8,17,0,3,1,2,0.7,0.79,425
2083,1,2,21,0,6,0,1,0.26,1,56
2084,2,4,2,0,2,1,1,0.56,0.83,26
2085,1,1,10,0,2,1,2,0.2,0.51,54
2086,2,4,1,0,5,1,3,0.26,1,4
2087,2,6,2,0,2,1,2,0.6,0.78,15
2088,4,11,5,0,3,1,1,0.22,0.69,39
2089,1,1,3,0,0,0,1,0.14,0.93,8
2090,1,1,18,0,5,1,2,0.2,0.34,301
2091,3,8,13,0,5,1,1,0.78,0.52,204
2092,1,3,18,0,0,0,1,0.4,0.43,147
2093,4,11,7,0,3,1,3,0.46,0.94,137
2094,4,12,0,0,0,0,1,0.2,0.75,71
2095,2,4,18,0,0,0,1,0.7,0.42,479
2096,2,5,0,0,5,1,2,0.52,0.83,52
2097,1,1,11,1,1,0,1,0.16,0.59,179
2098,4,11,15,0,6,0,1,0.4,0.37,343
2099,2,5,12,0,6,0,1,0.66,0.5,493
2100,4,12,3,0,1,1,1,0.32,0.87,2
2101,1,3,10,0,0,0,1,0.32,0.49,218
2102,3,7,0,0,0,0,1,0.76,0.55,113
2103,3,8,4,0,5,1,3,0.7,0.84,7
2104,4,12,14,0,0,0,1,0.3,0.49,219
2105,4,10,18,0,4,1,2,0.46,0.51,469
2106,3,6,22,0,2,1,1,0.66,0.34,245
2107,2,5,14,0,5,1,1,0.66,0.34,350
2108,2,3,2,0,4,1,1,0.6,0.28,6
2109,4,11,20,0,0,0,1,0.5,0.63,104
2110,1,1,17,0,1,1,1,0.24,0.3,157
2111,3,9,2,0,6,0,1,0.66,0.89,77
2112,3,9,22,0,1,1,1,0.54,0.52,159
2113,4,12,20,0,5,1,3,0.38,0.76,241
2114,3,7,2,0,1,1,2,0.66,0.94,17
2115,4,11,3,0,0,0,2,0.3,0.81,46
2116,3,6,7,0,4,1,2,0.7,0.84,463
2117,2,3,6,0,0,0,2,0.4,1,18
2118,1,1,15,0,1,1,2,0.16,0.59,44
2119,2,3,22,0,3,1,3,0.24,0.93,24
2120,1,1,2,0,5,1,1,0.4,0.76,14
2121,3,8,1,0,0,0,3,0.64,0.89,73
2122,3,7,17,0,2,1,1,0.78,0.52,820
2123,2,6,15,0,0,0,1,0.7,0.54,417
2124,4,10,21,0,4,1,1,0.62,0.69,321
2125,4,9,7,0,3,1,1,0.54,0.77,532
2126,2,5,16,0,5,1,2,0.6,0.53,330
2127,2,3,20,0,3,1,3,0.36,0.87,75
2128,3,7,14,0,4,1,1,0.9,0.5,147
2129,2,3,15,0,5,1,3,0.42,0.54,280
2130,1,2,22,0,3,1,2,0.44,0.47,147
2131,2,5,6,0,5,1,1,0.36,0.81,82
2132,2,4,23,0,1,1,1,0.44,0.44,67
2133,3,6,17,0,2,1,1,0.78,0.66,572
2134,3,8,14,0,0,0,3,0.7,0.79,235
2135,4,11,2,0,1,1,2,0.3,0.56,6
2136,4,12,0,0,2,1,2,0.5,0.77,28
2137,4,11,1,0,6,0,1,0.32,0.76,29
2138,4,9,16,0,3,1,1,0.74,0.45,468
2139,4,11,7,0,4,1,2,0.32,0.81,292
2140,4,10,14,0,2,1,2,0.62,0.41,169
2141,1,1,11,0,6,0,2,0.06,0.38,63
2142,1,1,17,1,1,0,1,0.26,0.35,153
2143,1,2,2,0,2,1,2,0.16,0.69,2
2144,2,5,18,0,0,0,1,0.7,0.51,474
2145,1,1,8,0,5,1,2,0.16,0.86,157
2146,1,3,1,0,5,1,1,0.34,0.49,20
2147,1,2,22,0,1,1,1,0.34,0.46,45
2148,1,2,16,0,2,1,1,0.22,0.35,83
2149,2,3,22,0,1,1,1,0.3,0.22,40
2150,2,6,7,0,1,1,3,0.52,0.94,145
2151,2,5,2,0,5,1,1,0.48,0.67,21
2152,2,3,1,0,3,1,1,0.52,0.83,26
2153,4,11,17,0,5,1,1,0.32,0.31,378
2154,3,8,1,0,6,0,2,0.68,0.57,77
2155,3,7,0,0,3,1,1,0.72,0.74,37
2156,3,8,19,0,1,1,1,0.78,0.59,640
2157,3,8,21,0,6,0,2,0.66,0.89,128
2158,1,3,0,0,3,1,1,0.22,0.69,8
2159,3,6,2,0,4,1,1,0.66,0.5,13
2160,1,3,23,0,2,1,1,0.28,0.61,41
2161,4,10,7,0,4,1,1,0.36,0.5,478
2162,1,3,10,0,0,0,1,0.42,0.47,122
2163,1,3,0,0,4,1,3,0.34,0,3
2164,3,8,15,0,0,0,2,0.64,0.65,276
2165,1,2,9,0,2,1,2,0.14,0.74,106
2166,1,3,0,0,2,1,1,0.3,0.7,7
2167,2,6,11,0,4,1,2,0.68,0.61,150
2168,2,4,23,1,1,0,1,0.7,0.45,121
2169,3,8,23,0,2,1,2,0.8,0.49,132
2170,4,12,12,0,4,1,2,0.46,0.59,157
2171,1,3,5,0,5,1,2,0.4,0.87,32
2172,3,7,10,0,0,0,2,0.66,0.74,379
2173,3,8,21,0,2,1,1,0.8,0.52,254
2174,2,4,16,0,2,1,2,0.48,0.77,99
2175,4,12,13,0,5,1,2,0.36,0.66,220
2176,3,8,11,0,0,0,1,0.8,0.63,313
2177,3,9,6,0,0,0,1,0.44,0.77,12
2178,2,4,12,0,6,0,1,0.46,0.23,590
2179,3,8,17,0,2,1,1,0.72,0.42,611
2180,3,8,5,0,6,0,1,0.64,0.89,6
2181,3,8,4,0,1,1,1,0.66,0.89,10
2182,1,2,0,0,0,0,1,0.26,0.35,17
2183,4,12,6,0,1,1,1,0.16,0.86,68
2184,2,4,8,0,0,0,1,0.4,0.3,84
2185,3,7,23,0,0,0,1,0.72,0.79,91
2186,1,3,8,0,5,1,2,0.34,0.42,501
2187,2,5,20,0,4,1,1,0.6,0.4,446
2188,1,3,14,0,5,1,2,0.48,0.72,202
2189,3,6,7,0,2,1,2,0.6,0.94,309
2190,1,3,20,0,3,1,1,0.62,0.35,330
2191,3,7,8,0,0,0,1,0.78,0.62,142
2192,2,4,22,1,5,0,2,0.38,0.82,80
2193,3,6,8,0,0,0,1,0.64,0.61,107
2194,2,5,5,0,2,1,3,0.56,0.88,17
2195,1,2,6,0,2,1,1,0.26,0.7,39
2196,2,5,8,0,0,0,1,0.52,0.63,86
2197,4,12,17,0,4,1,1,0.3,0.49,331
2198,4,10,7,0,6,0,1,0.48,0.83,86
2199,3,8,18,0,5,1,2,0.72,0.62,736
2200,4,11,17,0,6,0,1,0.5,0.45,501
2201,1,12,13,0,6,0,3,0.2,1,84
2202,4,10,17,0,1,1,1,0.62,0.33,922
2203,1,3,3,0,3,1,1,0.22,0.69,4
2204,4,11,9,0,1,1,2,0.48,0.94,237
2205,1,3,20,0,6,0,1,0.42,0.35,108
2206,3,6,5,0,6,0,2,0.64,0.83,12
2207,2,4,10,0,6,0,2,0.36,0.57,154
2208,2,3,12,0,1,1,2,0.44,0.77,81
2209,1,1,21,0,0,0,1,0.18,0.51,28
2210,3,7,15,0,5,1,1,0.96,0.3,169
2211,2,4,4,0,3,1,1,0.42,0.67,1
2212,3,8,3,0,6,0,1,0.66,0.65,27
2213,4,12,7,0,2,1,2,0.36,0.62,268
2214,4,9,2,0,0,0,1,0.52,0.48,95
2215,4,10,6,0,4,1,3,0.5,0.82,46
2216,2,4,2,0,6,0,1,0.24,0.75,21
2217,2,4,13,0,0,0,3,0.38,0.82,52
2218,2,5,0,0,1,1,2,0.52,0.77,34
2219,4,11,8,0,0,0,1,0.4,0.82,42
2220,2,3,19,0,5,1,2,0.3,0.36,135
2221,1,1,14,0,2,1,1,0.26,0.52,63
2222,4,11,2,0,1,1,1,0.32,0.93,2
2223,4,11,23,0,6,0,1,0.28,0.7,85
2224,1,2,11,0,0,0,1,0.32,0.49,117
2225,3,8,0,0,0,0,1,0.64,0.89,134
2226,3,7,2,0,4,1,1,0.66,0.89,8
2227,3,8,20,0,3,1,1,0.74,0.66,513
2228,1,12,19,0,6,0,1,0.3,0.52,25
2229,3,9,18,0,6,0,2,0.52,0.72,329
2230,3,6,14,0,6,0,1,0.74,0.45,383
2231,3,9,16,0,2,1,1,0.7,0.28,536
2232,1,1,13,0,6,0,1,0.44,0.44,445
2233,2,4,0,0,5,1,1,0.4,0.37,55
2234,2,3,7,0,1,1,3,0.3,0.87,18
2235,1,2,3,0,6,0,1,0.22,0.55,8
2236,3,6,13,0,1,1,1,0.72,0.51,260
2237,1,1,11,0,4,1,1,0.3,0.49,84
2238,2,5,16,0,1,1,1,0.64,0.38,304
2239,3,8,22,0,3,1,1,0.7,0.61,226
2240,4,9,15,0,4,1,1,0.68,0.45,227
2241,3,8,1,0,0,0,1,0.64,0.89,134
2242,2,4,0,0,1,1,3,0.52,1,12
2243,1,1,14,0,5,1,1,0.5,0.55,176
2244,3,6,11,0,6,0,1,0.76,0.48,516
2245,2,4,22,0,0,0,1,0.44,0.94,57
2246,4,11,22,0,4,1,2,0.32,0.66,153
2247,4,11,23,0,6,0,1,0.24,0.44,57
2248,3,6,17,0,2,1,3,0.82,0.56,579
2249,4,10,14,0,5,1,1,0.56,0.37,371
2250,2,6,5,0,1,1,1,0.52,0.68,35
2251,2,6,7,0,2,1,1,0.56,0.52,365
2252,1,12,19,0,3,1,3,0.3,0.87,35
2253,4,10,7,0,1,1,2,0.58,0.68,476
2254,4,12,4,0,1,1,3,0.36,1,5
2255,2,3,1,0,5,1,1,0.54,0.88,50
2256,2,6,0,0,4,1,1,0.74,0.4,42
2257,2,4,8,0,3,1,1,0.32,0.61,325
2258,2,4,6,0,6,0,2,0.34,1,11
2259,3,9,9,0,1,1,2,0.54,0.68,215
2260,1,3,15,0,2,1,2,0.36,0.18,112
2261,2,6,7,0,0,0,1,0.6,0.78,62
2262,2,5,19,0,2,1,1,0.7,0.54,487
2263,3,7,12,0,0,0,1,0.9,0.37,433
2264,3,7,16,0,2,1,1,0.8,0.55,455
2265,4,9,11,0,0,0,2,0.66,0.78,361
2266,2,4,4,0,0,0,2,0.34,0.81,12
2267,3,9,6,0,5,1,1,0.6,0.83,76
2268,3,8,15,0,6,0,3,0.64,0.89,30
2269,1,12,15,0,3,1,2,0.48,0.88,61
2270,3,9,15,0,4,1,2,0.68,0.79,181
2271,2,3,21,0,5,1,1,0.62,0.53,284
2272,4,10,1,0,1,1,1,0.26,0.81,13
2273,2,5,19,0,0,0,2,0.66,0.5,339
2274,3,8,11,0,3,1,1,0.76,0.58,234
2275,3,8,22,0,4,1,2,0.66,0.69,259
2276,4,11,20,0,2,1,2,0.38,0.76,235
2277,2,5,6,0,3,1,2,0.56,0.88,126
2278,2,3,17,0,1,1,1,0.34,0.23,252
2279,1,2,4,0,2,1,2,0.3,0.7,3
2280,4,11,0,1,4,0,1,0.32,0.57,23
2281,1,1,16,0,0,0,1,0.16,0.26,65
2282,2,3,4,0,3,1,2,0.5,0.88,4
2283,3,9,6,0,1,1,1,0.5,0.77,113
2284,3,8,1,0,1,1,1,0.72,0.79,11
2285,4,11,18,0,4,1,1,0.32,0.49,537
2286,3,9,8,0,4,1,1,0.5,0.68,790
2287,3,7,22,0,1,1,1,0.76,0.62,284
2288,1,2,6,0,5,1,1,0.2,0.59,64
2289,3,7,14,0,6,0,1,0.84,0.36,373
2290,2,4,23,0,5,1,2,0.44,0.54,113
2291,4,10,15,0,0,0,3,0.36,0.81,173
2292,3,9,20,0,4,1,2,0.62,0.94,89
2293,4,11,12,0,2,1,3,0.28,0.87,76
2294,4,10,9,0,3,1,1,0.54,0.6,219
2295,3,7,5,0,2,1,1,0.66,0.89,27
2296,4,11,3,0,0,0,2,0.4,0.66,37
2297,4,11,5,0,3,1,1,0.28,0.87,29
2298,4,12,7,0,0,0,1,0.2,0.59,12
2299,2,5,7,0,0,0,3,0.52,0.83,36
2300,4,9,12,0,2,1,2,0.66,0.89,162
2301,1,2,20,0,3,1,1,0.36,0.46,211
2302,2,6,3,0,0,0,1,0.64,0.73,29
2303,2,4,12,0,6,0,2,0.46,0.88,32
2304,2,6,19,0,5,1,1,0.78,0.59,306
2305,4,9,14,0,5,1,2,0.64,0.47,266
2306,1,12,22,0,6,0,1,0.38,0.62,38
2307,4,11,14,0,1,1,1,0.6,0.56,143
2308,3,8,22,0,6,0,1,0.62,0.83,182
2309,2,5,18,0,3,1,1,0.74,0.48,796
2310,1,2,16,0,0,0,1,0.2,0.34,164
2311,4,12,10,0,3,1,3,0.44,1,33
2312,4,9,18,0,1,1,1,0.66,0.83,553
2313,3,7,19,0,0,0,1,0.86,0.47,240
2314,1,1,18,0,6,0,3,0.42,0.88,35
2315,2,6,6,0,4,1,1,0.66,0.39,113
2316,2,6,13,0,6,0,1,0.76,0.55,327
2317,1,1,4,0,1,1,1,0.16,0.47,1
2318,2,5,6,0,6,0,2,0.5,0.88,11
2319,1,2,11,0,3,1,2,0.14,0.43,41
2320,4,9,11,0,5,1,3,0.62,1,21
2321,4,11,3,0,4,1,1,0.34,0.81,5
2322,4,10,20,0,0,0,1,0.44,0.72,144
2323,3,9,9,0,3,1,1,0.64,0.78,202
2324,2,3,11,0,6,0,1,0.46,0.72,463
2325,1,1,16,0,2,1,1,0.14,0.39,136
2326,2,5,22,0,1,1,1,0.56,0.88,127
2327,2,5,19,0,6,0,1,0.56,0.43,267
2328,1,3,15,0,5,1,1,0.36,0.4,106
2329,1,1,1,0,5,1,2,0.2,0.69,7
2330,1,3,14,0,5,1,2,0.44,0.44,205
2331,2,3,13,0,3,1,2,0.54,0.83,303
2332,2,5,3,0,3,1,3,0.52,0.94,9
2333,3,8,17,0,6,0,3,0.74,0.79,149
2334,1,1,21,0,3,1,1,0.2,0.51,43
2335,4,12,16,0,0,0,1,0.3,0.26,206
2336,4,11,9,0,4,1,1,0.32,0.31,275
2337,3,7,21,0,3,1,1,0.7,0.79,250
2338,3,7,9,0,5,1,1,0.68,0.54,207
2339,2,4,23,0,4,1,1,0.5,0.88,112
2340,3,7,8,0,2,1,2,0.76,0.7,412
2341,2,4,3,0,4,1,2,0.42,0.77,4
2342,4,12,23,0,5,1,1,0.32,0.53,95
2343,3,9,19,0,2,1,1,0.62,0.41,596
2344,2,6,23,0,2,1,1,0.72,0.79,125
2345,3,8,21,0,5,1,2,0.76,0.66,278
2346,2,5,11,0,6,0,1,0.64,0.53,418
2347,2,3,9,0,4,1,1,0.48,0.48,321
2348,3,6,10,0,4,1,2,0.76,0.66,127
2349,3,7,14,0,4,1,1,0.86,0.41,160
2350,3,7,7,0,4,1,1,0.76,0.55,343
2351,4,10,23,0,3,1,1,0.36,0.57,101
2352,1,2,8,0,3,1,1,0.32,0.61,515
