Index,C1,C2,C3,C4,C5,C6,C7,C8,Target
391,1,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,9
392,3,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
393,1,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7
394,2,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
395,3,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9
396,1,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
397,2,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9
398,1,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10
399,1,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
400,1,0.71,0.56,0.22,2.015,0.9215,0.454,0.566,11
401,1,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9
402,1,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,6
403,1,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10
404,1,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8
405,2,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9
406,3,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8
407,1,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8
408,1,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7
409,2,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8
410,1,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9
411,3,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7
412,2,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15
413,2,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
414,1,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
415,3,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
416,2,0.615,0.47,0.155,1.084,0.5885,0.209,0.246,9
417,1,0.63,0.505,0.17,1.0915,0.4615,0.266,0.3,9
418,3,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8
419,1,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
420,1,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10
421,2,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11
422,1,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.343,9
423,3,0.375,0.28,0.08,0.226,0.105,0.047,0.065,6
424,3,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
425,2,0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,9
426,3,0.43,0.34,0,0.428,0.2065,0.086,0.115,8
427,2,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9
428,3,0.55,0.43,0.145,0.712,0.3025,0.152,0.225,10
429,1,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8
430,3,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
431,2,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12
432,3,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,9
433,2,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9
434,1,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
435,3,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
436,2,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
437,3,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6
438,3,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
439,2,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
440,2,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
441,3,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6
442,2,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8
443,3,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4
444,2,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,8
445,2,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11
446,1,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10
447,3,0.485,0.38,0.125,0.5215,0.2215,0.118,0.16,8
448,2,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9
449,1,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,9
450,3,0.615,0.46,0.19,1.066,0.4335,0.226,0.33,13
451,3,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6
452,3,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7
453,3,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7
454,1,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
455,1,0.635,0.525,0.16,1.195,0.5435,0.246,0.335,12
456,1,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
457,1,0.68,0.53,0.18,1.529,0.7635,0.3115,0.4025,11
458,2,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14
459,1,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8
460,3,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
461,1,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
462,2,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10
463,3,0.37,0.29,0.08,0.2545,0.108,0.0565,0.07,6
464,1,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,9
465,1,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13
466,3,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7
467,2,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
468,3,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,9
469,1,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
470,1,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,9
471,1,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10
472,1,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
473,3,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5
474,2,0.52,0.425,0.145,0.7,0.207,0.1905,0.24,13
475,2,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,10
476,3,0.475,0.355,0.105,0.468,0.201,0.1115,0.12,8
477,3,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6
478,1,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
479,2,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
480,1,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10
481,2,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,10
482,2,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8
483,2,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,14
484,3,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9
485,3,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,6
486,3,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3
487,3,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
488,1,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
489,2,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9
490,2,0.58,0.455,0.12,0.94,0.399,0.257,0.265,11
491,1,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11
492,3,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4
493,1,0.5,0.39,0.13,0.709,0.275,0.168,0.18,11
494,1,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
495,1,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10
496,2,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9
497,2,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12
498,1,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
499,3,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,11
500,1,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
501,2,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,11
502,2,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11
503,1,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
504,1,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,9
505,3,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,7
506,3,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
507,1,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9
508,3,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,6
509,3,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6
510,1,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10
511,1,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12
512,1,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10
513,1,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9
514,1,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4
515,2,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
516,1,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
517,1,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
518,2,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12
519,1,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9
520,2,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10
521,3,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
522,3,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
523,3,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11
524,3,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6
525,2,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18
526,2,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
527,2,0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
528,2,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15
529,1,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
530,2,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15
531,3,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
532,2,0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
533,3,0.56,0.44,0.14,0.825,0.402,0.139,0.245,10
534,2,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,10
535,1,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13
536,3,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8
537,2,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
538,2,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10
539,1,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
540,3,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,6
541,1,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20
542,2,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13
543,3,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8
544,1,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,9
545,3,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,7
546,3,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
547,2,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
548,2,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10
549,2,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8
550,1,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
551,2,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,9
552,2,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9
553,3,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
554,1,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11
555,3,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6
556,3,0.5,0.385,0.12,0.516,0.197,0.1305,0.165,8
557,2,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18
558,2,0.655,0.515,0.155,1.309,0.524,0.346,0.385,11
559,2,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
560,2,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14
561,3,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,7
562,3,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
563,2,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9
564,1,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
565,3,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
566,3,0.54,0.415,0.135,0.709,0.3195,0.174,0.185,9
567,3,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6
568,2,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
569,3,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14
570,1,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10
571,3,0.315,0.235,0.08,0.18,0.08,0.045,0.047,5
572,1,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
573,1,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,9
574,3,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7
575,3,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
576,1,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
577,3,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11
578,1,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17
579,3,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6
580,1,0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,13
581,3,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
582,2,0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
583,1,0.64,0.52,0.2,1.407,0.566,0.304,0.455,17
584,1,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
585,2,0.64,0.485,0.145,1.1335,0.5525,0.2505,0.3015,11
586,3,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8
587,3,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9
588,3,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11
589,2,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10
590,1,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11
591,3,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5
592,2,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
593,3,0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,7
594,3,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
595,3,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
596,1,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10
597,3,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6
598,2,0.58,0.445,0.15,0.858,0.4,0.156,0.253,8
599,1,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8
600,2,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10
601,3,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7
602,1,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14
603,1,0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,10
604,2,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,10
605,1,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9
606,3,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,6
607,1,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
608,3,0.375,0.3,0.075,0.144,0.059,0.03,0.044,7
609,1,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
610,3,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8
611,2,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
612,1,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9
613,1,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,11
614,2,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8
615,2,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
616,2,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14
617,2,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,12
618,1,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12
619,2,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10
620,1,0.515,0.4,0.14,0.6335,0.288,0.145,0.168,9
621,2,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9
622,3,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14
623,1,0.35,0.26,0.09,0.198,0.0725,0.056,0.06,10
624,2,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
625,1,0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,13
626,2,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105,10
627,3,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
628,3,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
629,2,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
630,3,0.395,0.29,0.095,0.3,0.158,0.068,0.078,7
631,2,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,10
632,2,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,12
633,3,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6
634,3,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,9
635,1,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
636,3,0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,7
637,1,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4
638,2,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
639,2,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
640,1,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11
641,2,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
642,1,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13
643,2,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
644,2,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8
645,2,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
646,3,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,9
647,3,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8
648,3,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8
649,1,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10
650,1,0.155,0.115,0.025,0.024,0.009,0.005,0.0075,5
651,3,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13
652,1,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10
653,2,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
654,2,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13
655,3,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
656,2,0.545,0.415,0.2,1.358,0.567,0.318,0.403,10
657,1,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
658,2,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11
659,3,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,7
660,1,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18
661,1,0.615,0.455,0.13,0.9685,0.49,0.182,0.2655,10
662,1,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
663,3,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7
664,1,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16
665,2,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
666,2,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
667,2,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9
668,3,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,5
669,1,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
670,1,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,11
671,3,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
672,3,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7
673,3,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
674,3,0.405,0.305,0.1,0.268,0.1145,0.053,0.085,7
675,3,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
676,1,0.555,0.42,0.145,0.8695,0.3075,0.2575,0.25,14
677,1,0.565,0.39,0.125,0.744,0.352,0.13,0.1685,11
678,3,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
679,2,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11
680,2,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,11
681,2,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
682,2,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
683,2,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12
684,3,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8
685,1,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,10
686,2,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10
687,1,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11
688,3,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13
689,1,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9
690,2,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11
691,2,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,12
692,1,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,10
693,3,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5
694,1,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13
695,2,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16
696,2,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14
697,3,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8
698,1,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
699,2,0.725,0.6,0.2,1.737,0.697,0.3585,0.595,11
700,1,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
701,1,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
702,2,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,14
703,3,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
704,1,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,18
705,3,0.525,0.4,0.145,0.6095,0.248,0.159,0.175,9
706,1,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10
707,1,0.48,0.375,0.12,0.5895,0.2535,0.128,0.172,11
708,3,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
709,3,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10
710,3,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7
711,2,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10
712,2,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,11
713,2,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
714,2,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,14
715,1,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,12
716,1,0.58,0.46,0.18,1.145,0.48,0.277,0.325,11
717,1,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,11
718,2,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10
719,3,0.32,0.205,0.08,0.181,0.088,0.034,0.0495,5
720,3,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,6
721,2,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8
722,1,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17
723,2,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9
724,2,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,8
725,2,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10
726,1,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9
727,3,0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,10
728,3,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
729,1,0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,11
730,2,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11
731,2,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,10
732,3,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
733,1,0.65,0.52,0.195,1.676,0.693,0.44,0.47,15
734,2,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
735,3,0.43,0.33,0.095,0.32,0.118,0.065,0.123,7
736,3,0.435,0.345,0.12,0.3215,0.13,0.056,0.1185,7
737,3,0.35,0.28,0.075,0.196,0.082,0.04,0.064,8
738,2,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
739,2,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,13
740,1,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15
741,1,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
742,3,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8
743,3,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8
744,1,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12
745,2,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10
746,3,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,6
747,1,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8
748,1,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
749,2,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11
750,3,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9
751,2,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
752,1,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11
753,3,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,6
754,2,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14
755,1,0.555,0.435,0.145,0.9205,0.404,0.2275,0.255,8
756,1,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
757,3,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8
758,1,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15
759,1,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5
760,3,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7
761,1,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10
762,3,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,4
763,2,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
764,1,0.645,0.5,0.19,1.229,0.524,0.278,0.395,17
765,2,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
766,3,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8
767,3,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6
768,1,0.63,0.49,0.165,1.2005,0.575,0.273,0.294,10
769,2,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,12
770,2,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8
771,3,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9
772,2,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9
773,1,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14
774,1,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9
775,1,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
776,2,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
777,2,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13
778,3,0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6
779,2,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
780,3,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7
